Campaign,Campaign Daily Budget,Campaign Type,Networks,Languages,Bid Strategy Type,Campaign Status,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Status
C1 - Marca,49,Search,Google search,es,Manual CPC,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1 - Marca,,,,,,,Lutron,6,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
C1 - Marca,,,,,,,Lutron,,,lutron,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,lutron,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,lutron mexico,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,lutron mexico,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,lutron cdmx,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,lutron cdmx,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,lutron homeworks,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,lutron homeworks,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,lutron athena,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,lutron athena,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,lutron vive,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,lutron vive,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,radiora 3,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,radiora 3,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,lutron myroom,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,lutron myroom,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,instalador lutron,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,instalador lutron,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,integrador lutron,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,integrador lutron,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,distribuidor lutron mexico,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,distribuidor lutron mexico,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,programacion lutron,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,programacion lutron,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,control de iluminacion lutron,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Lutron,,,control de iluminacion lutron,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
